age,industry,job title,annual salary,bonus,country,years of experience,field years of experience,highest level of education,gender
2,Education (Higher Education),Research and Instruction Librarian,55000.0,0.0,USA,2,2,4.0,Woman
2,Computing or Tech,Change & Internal Communications Manager,67704.0,4960.0,GBR,3,2,3.0,Prefer not to answer
2,"Accounting, Banking & Finance",Marketing Specialist,34000.0,0.0,USA,1,1,3.0,Woman
2,Nonprofits,Program Manager,62000.0,3000.0,USA,3,2,3.0,Woman
2,"Accounting, Banking & Finance",Accounting Manager,60000.0,7000.0,USA,3,2,3.0,Woman
2,Education (Higher Education),Scholarly Publishing Librarian,62000.0,0.0,USA,3,1,4.0,Man
2,Publishing,Publishing Assistant,33000.0,2000.0,USA,1,1,3.0,Woman
2,Education (Primary/Secondary),Librarian,50000.0,0.0,USA,2,2,4.0,Man
4,Computing or Tech,Systems Analyst,112000.0,10000.0,USA,5,5,3.0,Woman
3,"Accounting, Banking & Finance",Senior Accountant,45000.0,0.0,USA,5,5,3.0,Woman
2,Nonprofits,Office Manager,47500.0,0.0,USA,2,2,3.0,Woman
3,Education (Higher Education),Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity,62000.0,0.0,USA,4,2,6.0,Woman
3,"Accounting, Banking & Finance",Manager of Information Services,100000.0,0.0,USA,4,4,3.0,Man
1,Health care,Patient care coordinator,23360.0,0.0,CAN,0,0,3.0,Woman
3,Utilities & Telecommunications,Quality And Compliance Specialist,29760.0,620.0,GBR,4,2,3.0,Man
3,Business or Consulting,Executive Assistant,85000.0,5000.0,USA,3,3,2.0,Woman
4,Art & Design,graphic designer,59000.0,0.0,USA,5,5,3.0,Woman
3,Business or Consulting,Senior Manager,98000.0,1000.0,USA,4,1,4.0,Woman
3,Education (Higher Education),Assistant Director of Academic Advising,54000.0,0.0,USA,4,4,4.0,Woman
2,Health care,Data Programmer Analyst,74000.0,0.0,USA,2,2,4.0,Woman
3,Nonprofits,Program Coordinator & Assistant Editor ,50000.0,0.0,USA,2,1,6.0,Woman
3,Nonprofits,Event Planner,45990.0,0.0,CAN,4,3,4.0,Woman
3,Government and Public Administration,Researcher,96000.0,1000.0,USA,3,1,6.0,Woman
3,Education (Higher Education),Communications Specialist,60000.0,0.0,USA,4,0,4.0,Woman
2,Nonprofits,Program Director,62000.0,0.0,USA,2,1,3.0,Man
